Time,Open,High,Low,Close,Volume
2019-12-11T07:00:00.000000000Z,1.10864,1.10874,1.10828,1.10842,328
2019-12-11T08:00:00.000000000Z,1.10839,1.10856,1.10794,1.10843,576
2019-12-11T09:00:00.000000000Z,1.10846,1.10872,1.10820,1.10836,452
2019-12-11T10:00:00.000000000Z,1.10834,1.10871,1.10788,1.10822,621
2019-12-11T11:00:00.000000000Z,1.10820,1.10853,1.10798,1.10820,354
2019-12-11T12:00:00.000000000Z,1.10817,1.10817,1.10704,1.10724,374
2019-12-11T13:00:00.000000000Z,1.10727,1.10905,1.10727,1.10855,712
2019-12-11T14:00:00.000000000Z,1.10858,1.10976,1.10856,1.10909,759
2019-12-11T15:00:00.000000000Z,1.10906,1.10946,1.10833,1.10844,762
2019-12-11T16:00:00.000000000Z,1.10846,1.10958,1.10846,1.10912,522
2019-12-11T17:00:00.000000000Z,1.10914,1.10960,1.10899,1.10924,373
2019-12-11T18:00:00.000000000Z,1.10926,1.11023,1.10906,1.10986,370
2019-12-11T19:00:00.000000000Z,1.10984,1.11414,1.10880,1.11393,2855
2019-12-11T20:00:00.000000000Z,1.11395,1.11448,1.11338,1.11389,1253
2019-12-11T21:00:00.000000000Z,1.11387,1.11394,1.11284,1.11299,314
2019-12-11T22:00:00.000000000Z,1.11302,1.11348,1.11302,1.11332,117
2019-12-11T23:00:00.000000000Z,1.11329,1.11342,1.11320,1.11326,91
2019-12-12T00:00:00.000000000Z,1.11328,1.11380,1.11316,1.11380,195
2019-12-12T01:00:00.000000000Z,1.11378,1.11402,1.11356,1.11400,145
2019-12-12T02:00:00.000000000Z,1.11402,1.11443,1.11374,1.11443,175
2019-12-12T03:00:00.000000000Z,1.11440,1.11441,1.11419,1.11438,107
2019-12-12T04:00:00.000000000Z,1.11435,1.11440,1.11417,1.11420,55
2019-12-12T05:00:00.000000000Z,1.11417,1.11440,1.11398,1.11398,100
2019-12-12T06:00:00.000000000Z,1.11398,1.11404,1.11364,1.11364,181
2019-12-12T07:00:00.000000000Z,1.11366,1.11417,1.11364,1.11376,383
2019-12-12T08:00:00.000000000Z,1.11374,1.11394,1.11320,1.11357,429
2019-12-12T09:00:00.000000000Z,1.11355,1.11355,1.11248,1.11276,540
2019-12-12T10:00:00.000000000Z,1.11274,1.11332,1.11268,1.11288,475
2019-12-12T11:00:00.000000000Z,1.11291,1.11360,1.11270,1.11322,613
2019-12-12T12:00:00.000000000Z,1.11320,1.11368,1.11297,1.11320,442
2019-12-12T13:00:00.000000000Z,1.11318,1.11544,1.11274,1.11386,2589
2019-12-12T14:00:00.000000000Z,1.11388,1.11484,1.11208,1.11250,2566
2019-12-12T15:00:00.000000000Z,1.11248,1.11362,1.11114,1.11173,2059
2019-12-12T16:00:00.000000000Z,1.11176,1.11216,1.11106,1.11144,1167
2019-12-12T17:00:00.000000000Z,1.11146,1.11171,1.11082,1.11101,669
2019-12-12T18:00:00.000000000Z,1.11104,1.11134,1.11030,1.11102,815
2019-12-12T19:00:00.000000000Z,1.11100,1.11153,1.11040,1.11130,1167
2019-12-12T20:00:00.000000000Z,1.11128,1.11350,1.11110,1.11323,1224
2019-12-12T21:00:00.000000000Z,1.11320,1.11349,1.11254,1.11308,578
2019-12-12T22:00:00.000000000Z,1.11540,1.11996,1.11540,1.11836,3466
2019-12-12T23:00:00.000000000Z,1.11834,1.11934,1.11768,1.11834,1529
2019-12-13T00:00:00.000000000Z,1.11832,1.11834,1.11684,1.11700,942
2019-12-13T01:00:00.000000000Z,1.11698,1.11820,1.11682,1.11768,643
2019-12-13T02:00:00.000000000Z,1.11770,1.11812,1.11722,1.11738,358
2019-12-13T03:00:00.000000000Z,1.11740,1.11778,1.11702,1.11776,458
2019-12-13T04:00:00.000000000Z,1.11779,1.11779,1.11709,1.11709,230
2019-12-13T05:00:00.000000000Z,1.11712,1.11760,1.11706,1.11744,244
2019-12-13T06:00:00.000000000Z,1.11746,1.11746,1.11630,1.11670,552
2019-12-13T07:00:00.000000000Z,1.11668,1.11680,1.11631,1.11656,1326
2019-12-13T08:00:00.000000000Z,1.11660,1.11808,1.11648,1.11773,1663
2019-12-13T09:00:00.000000000Z,1.11770,1.11819,1.11688,1.11802,1338
2019-12-13T10:00:00.000000000Z,1.11804,1.11851,1.11767,1.11795,767
2019-12-13T11:00:00.000000000Z,1.11797,1.11860,1.11740,1.11754,756
2019-12-13T12:00:00.000000000Z,1.11756,1.11834,1.11712,1.11712,697
2019-12-13T13:00:00.000000000Z,1.11714,1.11770,1.11666,1.11698,1296
2019-12-13T14:00:00.000000000Z,1.11696,1.11729,1.11478,1.11530,2331
2019-12-13T15:00:00.000000000Z,1.11532,1.11676,1.11251,1.11355,4977
2019-12-13T16:00:00.000000000Z,1.11353,1.11388,1.11174,1.11275,1808
2019-12-13T17:00:00.000000000Z,1.11278,1.11284,1.11123,1.11156,1031
2019-12-13T18:00:00.000000000Z,1.11158,1.11215,1.11153,1.11192,423
2019-12-13T19:00:00.000000000Z,1.11195,1.11227,1.11180,1.11210,321
2019-12-13T20:00:00.000000000Z,1.11212,1.11217,1.11122,1.11167,330
2019-12-13T21:00:00.000000000Z,1.11170,1.11209,1.11148,1.11209,360
2019-12-15T22:00:00.000000000Z,1.11289,1.11312,1.11254,1.11292,190
2019-12-15T23:00:00.000000000Z,1.11294,1.11301,1.11229,1.11244,513
2019-12-16T00:00:00.000000000Z,1.11242,1.11276,1.11232,1.11258,229
2019-12-16T01:00:00.000000000Z,1.11255,1.11292,1.11252,1.11282,162
2019-12-16T02:00:00.000000000Z,1.11284,1.11324,1.11282,1.11293,147
2019-12-16T03:00:00.000000000Z,1.11295,1.11326,1.11288,1.11326,109
2019-12-16T04:00:00.000000000Z,1.11328,1.11328,1.11300,1.11328,94
2019-12-16T05:00:00.000000000Z,1.11326,1.11366,1.11324,1.11349,149
2019-12-16T06:00:00.000000000Z,1.11349,1.11436,1.11342,1.11428,324
2019-12-16T07:00:00.000000000Z,1.11426,1.11506,1.11398,1.11458,771
2019-12-16T08:00:00.000000000Z,1.11455,1.11463,1.11274,1.11316,1541
2019-12-16T09:00:00.000000000Z,1.11313,1.11347,1.11262,1.11346,920
2019-12-16T10:00:00.000000000Z,1.11349,1.11440,1.11337,1.11388,562
2019-12-16T11:00:00.000000000Z,1.11390,1.11446,1.11371,1.11446,325
2019-12-16T12:00:00.000000000Z,1.11443,1.11468,1.11418,1.11446,357
2019-12-16T13:00:00.000000000Z,1.11449,1.11546,1.11424,1.11535,766
2019-12-16T14:00:00.000000000Z,1.11532,1.11532,1.11449,1.11504,538
2019-12-16T15:00:00.000000000Z,1.11501,1.11580,1.11355,1.11368,744
2019-12-16T16:00:00.000000000Z,1.11370,1.11465,1.11350,1.11388,792
2019-12-16T17:00:00.000000000Z,1.11390,1.11459,1.11380,1.11430,401
2019-12-16T18:00:00.000000000Z,1.11432,1.11476,1.11416,1.11461,259
2019-12-16T19:00:00.000000000Z,1.11458,1.11480,1.11436,1.11474,216
2019-12-16T20:00:00.000000000Z,1.11472,1.11476,1.11439,1.11446,191
2019-12-16T21:00:00.000000000Z,1.11444,1.11450,1.11414,1.11440,148
2019-12-16T22:00:00.000000000Z,1.11456,1.11502,1.11384,1.11387,243
2019-12-16T23:00:00.000000000Z,1.11392,1.11410,1.11345,1.11358,365
2019-12-17T00:00:00.000000000Z,1.11360,1.11386,1.11342,1.11371,264
2019-12-17T01:00:00.000000000Z,1.11374,1.11403,1.11370,1.11393,201
2019-12-17T02:00:00.000000000Z,1.11395,1.11448,1.11395,1.11442,102
2019-12-17T03:00:00.000000000Z,1.11445,1.11478,1.11445,1.11470,88
2019-12-17T04:00:00.000000000Z,1.11468,1.11490,1.11454,1.11474,105
2019-12-17T05:00:00.000000000Z,1.11472,1.11494,1.11466,1.11474,112
2019-12-17T06:00:00.000000000Z,1.11476,1.11482,1.11420,1.11460,250
2019-12-17T07:00:00.000000000Z,1.11463,1.11465,1.11402,1.11424,474
2019-12-17T08:00:00.000000000Z,1.11422,1.11444,1.11294,1.11380,1141
2019-12-17T09:00:00.000000000Z,1.11383,1.11520,1.11354,1.11499,954
2019-12-17T10:00:00.000000000Z,1.11501,1.11599,1.11456,1.11596,843
2019-12-17T11:00:00.000000000Z,1.11594,1.11668,1.11560,1.11607,749
2019-12-17T12:00:00.000000000Z,1.11605,1.11746,1.11588,1.11698,713
2019-12-17T13:00:00.000000000Z,1.11700,1.11718,1.11446,1.11462,1312
2019-12-17T14:00:00.000000000Z,1.11464,1.11539,1.11464,1.11504,844
2019-12-17T15:00:00.000000000Z,1.11506,1.11580,1.11506,1.11558,795
2019-12-17T16:00:00.000000000Z,1.11560,1.11573,1.11460,1.11478,753
2019-12-17T17:00:00.000000000Z,1.11476,1.11550,1.11467,1.11518,486
2019-12-17T18:00:00.000000000Z,1.11520,1.11537,1.11490,1.11502,301
2019-12-17T19:00:00.000000000Z,1.11500,1.11531,1.11464,1.11474,262
2019-12-17T20:00:00.000000000Z,1.11476,1.11495,1.11458,1.11465,164
2019-12-17T21:00:00.000000000Z,1.11463,1.11513,1.11458,1.11509,178
2019-12-17T22:00:00.000000000Z,1.11503,1.11542,1.11498,1.11528,145
2019-12-17T23:00:00.000000000Z,1.11530,1.11532,1.11506,1.11515,71
2019-12-18T00:00:00.000000000Z,1.11512,1.11512,1.11460,1.11471,133
2019-12-18T01:00:00.000000000Z,1.11469,1.11474,1.11391,1.11409,254
2019-12-18T02:00:00.000000000Z,1.11412,1.11423,1.11342,1.11370,303
2019-12-18T03:00:00.000000000Z,1.11367,1.11367,1.11308,1.11338,197
2019-12-18T04:00:00.000000000Z,1.11341,1.11344,1.11312,1.11312,118
2019-12-18T05:00:00.000000000Z,1.11314,1.11350,1.11292,1.11350,138
2019-12-18T06:00:00.000000000Z,1.11350,1.11389,1.11344,1.11386,185
2019-12-18T07:00:00.000000000Z,1.11384,1.11400,1.11300,1.11310,577
2019-12-18T08:00:00.000000000Z,1.11312,1.11353,1.11276,1.11290,671
2019-12-18T09:00:00.000000000Z,1.11292,1.11426,1.11264,1.11333,701
2019-12-18T10:00:00.000000000Z,1.11330,1.11366,1.11320,1.11336,335
2019-12-18T11:00:00.000000000Z,1.11338,1.11366,1.11231,1.11279,660
2019-12-18T12:00:00.000000000Z,1.11276,1.11282,1.11200,1.11222,605
2019-12-18T13:00:00.000000000Z,1.11225,1.11230,1.11106,1.11174,793
2019-12-18T14:00:00.000000000Z,1.11176,1.11246,1.11157,1.11157,595
2019-12-18T15:00:00.000000000Z,1.11160,1.11342,1.11152,1.11258,844
2019-12-18T16:00:00.000000000Z,1.11260,1.11283,1.11117,1.11122,879
2019-12-18T17:00:00.000000000Z,1.11124,1.11188,1.11120,1.11182,469
2019-12-18T18:00:00.000000000Z,1.11184,1.11199,1.11145,1.11158,230
2019-12-18T19:00:00.000000000Z,1.11160,1.11206,1.11152,1.11154,209
2019-12-18T20:00:00.000000000Z,1.11157,1.11194,1.11148,1.11193,158
2019-12-18T21:00:00.000000000Z,1.11196,1.11198,1.11130,1.11138,241
2019-12-18T22:00:00.000000000Z,1.11134,1.11172,1.11132,1.11162,128
2019-12-18T23:00:00.000000000Z,1.11165,1.11176,1.11141,1.11156,110
2019-12-19T00:00:00.000000000Z,1.11154,1.11213,1.11146,1.11168,195
2019-12-19T01:00:00.000000000Z,1.11166,1.11248,1.11162,1.11236,196
2019-12-19T02:00:00.000000000Z,1.11234,1.11270,1.11232,1.11266,86
2019-12-19T03:00:00.000000000Z,1.11268,1.11326,1.11266,1.11300,160
2019-12-19T04:00:00.000000000Z,1.11298,1.11300,1.11258,1.11258,97
2019-12-19T05:00:00.000000000Z,1.11260,1.11290,1.11256,1.11270,136
2019-12-19T06:00:00.000000000Z,1.11270,1.11302,1.11247,1.11302,176
2019-12-19T07:00:00.000000000Z,1.11300,1.11317,1.11259,1.11264,497
2019-12-19T08:00:00.000000000Z,1.11266,1.11308,1.11245,1.11293,619
2019-12-19T09:00:00.000000000Z,1.11295,1.11392,1.11282,1.11366,635
2019-12-19T10:00:00.000000000Z,1.11364,1.11443,1.11313,1.11441,560
2019-12-19T11:00:00.000000000Z,1.11438,1.11438,1.11252,1.11270,720
